演奏会名,日にち,会場,演奏曲目,指揮,協演,備考
第22回,1976/12/14,国立教育会館虎ノ門ホール,1．「Le Matin」「Hymne Au Travalle」(Saint-Saëns)<br>2．「青い照明」(清水脩)<br>3．「Liebeslieder Op.52」(Brahms)<br>4．Sound In Flügel<br>　　青春の光と影、やさしく歌って、セサミ・ストリート　他,関屋晋(1)(4)<br>天野薫(2)<br>手塚幸紀(3),窪田洋子(3)Pf<br>越村紅(3)Pf,<br>""
第23回,1977/12/14,渋谷公会堂,"1．ロッシーニ男声合唱曲<br>2．枯木と太陽の歌(石井歓)<br>3．「A Stopwatch and an Ordnance Map Op.15」(Barber)<br>　　「testament of Freedom」(Thompson)<br>4．「Rakastava, UKKO Op.32」(Sibelius)",関屋晋(1)(3)(4)<br>横井茂樹(2),実川玉起(2)Pf<br>大久保洋子(3)(4)Pf<br>森山崇(3)Perc,<br>""
第24回,1978/12/13,中央区立中央会館,1．ドイツ・ロマン派合唱曲<br>シューベルト、メンデルスゾーン、シューマン、ブルックナーの作品<br>2．Sound In Flügel '78<br>　　Mack The Knife、愛はきらめきの中に　他<br>3．「萬歳流し」(柴田南雄),松井正二郎(1)(2)<br>関屋晋(3),針生正男(2)Pf<br>酒井一郎(2)Bas<br>関谷一志(2)Drm,<br>""
第25回,1979/12/18,新宿文化センター,1．「Drei Mannerchor」(R.Strauss)<br>2．「わが歳月」(大中恩)<br>3．「海の構図」(中田喜直)<br>4．「Quatre petites prières de Saint François d'Assise」<br>　　「Laudes de Saint Antoine de Padoue」(Poulenc),関屋晋(1)(4)<br>古橋祐(2)<br>清水昭(3),大久保洋子(3)Pf,<br>""
第26回,1980/12/11,国立教育会館虎ノ門ホール,1．「ミサ曲第2番」(Gounod)<br>2．「ブレーメンの楽師たち」(Williamson)<br>3．「隠岐四景」(堀悦子)<br>4．「クレーの絵本　第2集」(三善晃),和久芳昭(1)<br>清水昭(2)<br>関屋晋(3)(4),清水敬一(1)Org<br>,<br>""
第27回,1981/12/16,昭和女子大学人見記念講堂,1．「ストップウオッチと軍用地図」「Agnus dei」(Barber)<br>2．「タイム・ピース」(Patterson)<br>3．「王孫不帰」(三善晃)<br>4．「海鳥の詩」(広瀬量平),清水昭(1)<br>清水敬一(2)<br>関屋晋(3)(4),吉岡孝悦(1)Timp<br>谷島純子(1)Org<br>田中瑤子(3)(4)Pf,<br>""
第28回,1982/12/15,昭和女子大学人見記念講堂,1．「Missa S.Sebastiao」(Villa-Lobos)<br>2．「合唱のためのコンポジション第6番」(間宮芳生)<br>3．「4つのロシア民謡の歌」「カンタータ《星の王》」(Stravinsky)<br>4．「男声合唱とピアノのためのディアローグ」「流氷のうた」(湯山昭),清水昭(1)<br>櫛引雅亮(2)<br>関屋晋(3)(4),清水敬一(3)Pf<br>大久保洋子(4)Pf,<br>""
第29回,1983/12/16,昭和女子大学人見記念講堂,1．「祈り」(新実徳英)<br>2．「4つの古いハンガリー民謡」(Bartok)<br>　　「セーケイの嘆きの歌」(Kodaly)<br>3．「かみさまへのてがみ」(高嶋みどり)<br>4．「ふるさと」(三善晃)<br>5．「やさしい魚」(新実徳英)*男声版初演,関屋晋(1)(4)(5)<br>宮本明(2)<br>清水昭(3),田中瑤子(1)(4)(5)Pf<br>秦万里子(3)Pf,<br>""
第30回,1984/12/18,昭和女子大学人見記念講堂,1．「Six Choruses for Male Voices」(Holst)<br>2．「ジャズ・コーラス集」<br>3．「芝生」(武満徹)<br>4．「青いメッセージ」(高嶋みどり)*改訂版初演,関屋晋(1)(3)(4)<br>清水昭(2),清水敬一(1)Pf<br>BMCバンド(2)<br>大久保洋子(4)Pf,<br>""
第31回,1985/12/13,東京カテドラル聖マリア大聖堂,1．「Six Canons」(Holst)<br>2．「動物たちのコラール　第Ⅳ集」(萩原英彦)<br>3．「五つのルフラン」(三善晃)<br>4．「Missa c-moll(1869年版)」(Liszt),松原正樹(1)<br>関屋晋(2)(4)<br>清水昭(3),和久径子(4)Org,<br>""
第32回,1986/12/12,学習院創立百周年記念会館,1．「From the greek anthology」(Elger)<br>2．「月下の一群　第一集」(南弘明)<br>3．「Cantiones sacrae et profanae」より(Badings)*日本初演<br>4．「河童のうた」「ゆうやけの歌」(湯山昭),芦田剛(1)<br>清水昭(2)<br>関屋晋(3)(4),小森瑞香(2)Pf<br>大久保洋子(4)Pf,<br>""
第33回,1987/12/17,学習院創立百周年記念会館,1．「三声のミサ」(Lotti)<br>2．「Morikeの詩による合唱曲集」より(Distler)<br>3．「三つの時刻」(三善晃)<br>4．「路標のうた」(三善晃)<br>5．「月下の一群　第三集」(南弘明),清水昭(1)<br>佐々木顕(2)<br>清水敬一(3)(4)<br>関屋晋(5),田中瑤子(3)(4)Pf<br>山下晶(5)Pf,<br>""
第34回,1988/12/16,中央区立中央会館,1．「ティオの夜の旅」(木下牧子)<br>2．「クレーの絵本　第2集」(三善晃)<br>3．「手づくり諺」(武満徹)<br>4．「愛のワルツ集」(Brahms　荒谷俊治編曲),清水昭(1)<br>飯塚真司(2)<br>清水敬一(3)<br>関屋晋(4),小森瑞香(1)(4)Pf<br>山下晶(4)Pf,<br>""
